time,vehicle_id,speed,acceleration,slope_degrees,road_grade_angle,x,y,edge_id,lane_id,signed_power_watts,consumption_power_watts
5.0,189,8.8298,0.0,0.0,0.0,4706.74,2158.94,906505545#0,906505545#0_0,2986.454086738663,2986.454086738663
6.0,189,8.47754173658807,-0.35225826341193134,0.0,0.0,4710.359854818337,2151.3366800834633,906505545#1,906505545#1_0,-3159.089685877322,0.0
7.0,189,7.809468715060689,-0.6680730215273805,0.0,0.0,4713.934167799521,2144.391528865112,906505545#1,906505545#1_0,-7855.677893996448,0.0
8.0,189,8.60626449257154,0.7967957775108516,0.0,0.0,4717.873165959022,2136.7377677058203,906505545#1,906505545#1_0,16814.980931424143,16814.980931424143
8.0,356,7.816039,0.0,0.0,0.0,5440.126155378485,2055.035547808765,450680039#2,450680039#2_0,2713.954576599348,2713.954576599348
9.0,189,7.841741116349772,-0.764523376221768,0.0,0.0,4721.462249684167,2129.7639158529814,906505545#1,906505545#1_0,-9422.94548282975,0.0
9.0,356,7.605239980425813,-0.21079901957418734,0.0,0.0,5445.623036997804,2049.7798017864357,450680039#2,450680039#2_0,-587.9237964720862,0.0
10.0,189,8.479104844578728,0.6373637282289559,0.0,0.0,4725.343048189237,2122.2232408736086,906505545#1,906505545#1_0,13836.875850812456,13836.875850812456
11.0,189,8.441528987074458,-0.037575857504270616,0.0,0.0,4729.184448702853,2114.7063660807858,:3109574422_2,:3109574422_2_0,2237.5326013442855,2237.5326013442855
11.0,356,7.003070514872797,0.445829359511845,0.0,0.0,5455.424098918819,2040.4086899864383,450680039#2,450680039#2_0,8831.397165259212,8831.397165259212
12.0,189,8.355333990352415,-0.08619499672204256,0.0,0.0,4732.973899763665,2107.260732115735,:3109574422_2,:3109574422_2_0,1397.98152204789,1397.98152204789
12.0,356,7.31046901889158,0.3073985040187832,0.0,0.0,5460.707927290044,2035.3566510545581,450680039#2,450680039#2_0,7136.139720568328,7136.139720568328
13.0,189,7.996011380530149,-0.35932260982226616,0.0,0.0,4736.5667269816995,2100.118485095866,906505545#2,906505545#2_0,-3058.634661843634,0.0
13.0,356,6.729619432673916,-0.5808495862176644,0.0,0.0,5465.571931773752,2030.7060192985455,450680039#2,450680039#2_0,-5477.7956346416,0.0
14.0,189,7.957342513143272,-0.03866886738687736,0.0,0.0,4740.138869679401,2093.009124834387,906505545#2,906505545#2_0,2127.6489327411005,2127.6489327411005
15.0,189,7.7341634720612324,-0.22317904108203912,0.0,0.0,4743.61082473524,2086.09916031379,906505545#2,906505545#2_0,-803.6347553413505,0.0
17.0,189,8.626312294211425,-0.19366215863265168,0.0,0.0,4751.44266378233,2070.512054756247,906505545#2,906505545#2_0,-453.52062239093243,0.0
17.0,356,6.930734097366348,-0.7460084039950745,0.0,0.0,5483.087553613334,2008.5668740755773,:cluster_1382873554_1418737335_8121509961_5,:cluster_1382873554_1418737335_8121509961_5_0,-7983.566604909058,0.0
18.0,189,8.51933512525186,-0.1069771689595651,0.0,0.0,4755.267091435993,2062.9005911936756,906505545#2,906505545#2_0,1055.110519388371,1055.110519388371
18.0,356,7.408567511001729,0.47783341363538057,0.0,0.0,5485.0907925809215,2001.438990740032,:cluster_1382873554_1418737335_8121509961_5,:cluster_1382873554_1418737335_8121509961_5_0,9779.709186334687,9779.709186334687
19.0,189,8.025750391349849,-0.4935847339020114,0.0,0.0,4758.869943218066,2055.7301130087076,906505545#2,906505545#2_0,-5255.087525276572,0.0
19.0,356,6.666948543968737,-0.7416189670329913,0.0,0.0,5488.805420017539,1996.4178434986845,:3052730079_1,:3052730079_1_0,-7590.429404577399,0.0
20.0,356,7.005282330224417,0.33833378625567967,0.0,0.0,5495.20034271323,1995.9276105143042,-124184227#2,-124184227#2_0,7308.625759632021,7308.625759632021
